Malformed or incomplete keys detected in Eurostat JSON (Health):
Key: 29241 -- Dims: [29241] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29242 -- Dims: [29242] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29243 -- Dims: [29243] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29244 -- Dims: [29244] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29245 -- Dims: [29245] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29246 -- Dims: [29246] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29247 -- Dims: [29247] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29248 -- Dims: [29248] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29249 -- Dims: [29249] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29250 -- Dims: [29250] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29251 -- Dims: [29251] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29252 -- Dims: [29252] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29253 -- Dims: [29253] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29254 -- Dims: [29254] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29255 -- Dims: [29255] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29256 -- Dims: [29256] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29257 -- Dims: [29257] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29258 -- Dims: [29258] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29259 -- Dims: [29259] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28880 -- Dims: [28880] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28881 -- Dims: [28881] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28882 -- Dims: [28882] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28883 -- Dims: [28883] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28884 -- Dims: [28884] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28885 -- Dims: [28885] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28886 -- Dims: [28886] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28887 -- Dims: [28887] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28888 -- Dims: [28888] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28889 -- Dims: [28889] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28890 -- Dims: [28890] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28891 -- Dims: [28891] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28892 -- Dims: [28892] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28893 -- Dims: [28893] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28894 -- Dims: [28894] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28895 -- Dims: [28895] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28896 -- Dims: [28896] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28897 -- Dims: [28897] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28898 -- Dims: [28898] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28901 -- Dims: [28901] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28902 -- Dims: [28902] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28903 -- Dims: [28903] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28904 -- Dims: [28904] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28905 -- Dims: [28905] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28906 -- Dims: [28906] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28907 -- Dims: [28907] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28908 -- Dims: [28908] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28909 -- Dims: [28909] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28910 -- Dims: [28910] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28911 -- Dims: [28911] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28912 -- Dims: [28912] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28913 -- Dims: [28913] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28914 -- Dims: [28914] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28915 -- Dims: [28915] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28916 -- Dims: [28916] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28917 -- Dims: [28917] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29434 -- Dims: [29434] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29435 -- Dims: [29435] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29436 -- Dims: [29436] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29437 -- Dims: [29437] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29438 -- Dims: [29438] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29439 -- Dims: [29439] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29440 -- Dims: [29440] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29441 -- Dims: [29441] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29442 -- Dims: [29442] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29443 -- Dims: [29443] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29444 -- Dims: [29444] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29445 -- Dims: [29445] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29446 -- Dims: [29446] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29447 -- Dims: [29447] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29448 -- Dims: [29448] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29449 -- Dims: [29449] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29109 -- Dims: [29109] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29110 -- Dims: [29110] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29111 -- Dims: [29111] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29112 -- Dims: [29112] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29113 -- Dims: [29113] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29114 -- Dims: [29114] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29115 -- Dims: [29115] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29116 -- Dims: [29116] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29117 -- Dims: [29117] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29118 -- Dims: [29118] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29119 -- Dims: [29119] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29120 -- Dims: [29120] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29121 -- Dims: [29121] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29122 -- Dims: [29122] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29123 -- Dims: [29123] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29124 -- Dims: [29124] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29125 -- Dims: [29125] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29126 -- Dims: [29126] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28919 -- Dims: [28919] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28920 -- Dims: [28920] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28921 -- Dims: [28921] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28922 -- Dims: [28922] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28923 -- Dims: [28923] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28924 -- Dims: [28924] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28925 -- Dims: [28925] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28926 -- Dims: [28926] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28927 -- Dims: [28927] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28928 -- Dims: [28928] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28929 -- Dims: [28929] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28930 -- Dims: [28930] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28931 -- Dims: [28931] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28932 -- Dims: [28932] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28933 -- Dims: [28933] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28934 -- Dims: [28934] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28935 -- Dims: [28935] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28936 -- Dims: [28936] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28957 -- Dims: [28957] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28958 -- Dims: [28958] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28959 -- Dims: [28959] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28960 -- Dims: [28960] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28961 -- Dims: [28961] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28962 -- Dims: [28962] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28963 -- Dims: [28963] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28964 -- Dims: [28964] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28965 -- Dims: [28965] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28966 -- Dims: [28966] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28967 -- Dims: [28967] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28968 -- Dims: [28968] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28969 -- Dims: [28969] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28970 -- Dims: [28970] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28971 -- Dims: [28971] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28972 -- Dims: [28972] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28973 -- Dims: [28973] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28974 -- Dims: [28974] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28937 -- Dims: [28937] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28938 -- Dims: [28938] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28939 -- Dims: [28939] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28940 -- Dims: [28940] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28941 -- Dims: [28941] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28942 -- Dims: [28942] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28943 -- Dims: [28943] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28944 -- Dims: [28944] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28945 -- Dims: [28945] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28946 -- Dims: [28946] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28947 -- Dims: [28947] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28948 -- Dims: [28948] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28949 -- Dims: [28949] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28950 -- Dims: [28950] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28951 -- Dims: [28951] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28952 -- Dims: [28952] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28953 -- Dims: [28953] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28954 -- Dims: [28954] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28955 -- Dims: [28955] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28975 -- Dims: [28975] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28976 -- Dims: [28976] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28977 -- Dims: [28977] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28978 -- Dims: [28978] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28979 -- Dims: [28979] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28980 -- Dims: [28980] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28981 -- Dims: [28981] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28982 -- Dims: [28982] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28983 -- Dims: [28983] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28984 -- Dims: [28984] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28985 -- Dims: [28985] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28986 -- Dims: [28986] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28987 -- Dims: [28987] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28988 -- Dims: [28988] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28989 -- Dims: [28989] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28990 -- Dims: [28990] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28991 -- Dims: [28991] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28992 -- Dims: [28992] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 28993 -- Dims: [28993] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29013 -- Dims: [29013] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29014 -- Dims: [29014] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29015 -- Dims: [29015] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29016 -- Dims: [29016] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29017 -- Dims: [29017] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29018 -- Dims: [29018] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29019 -- Dims: [29019] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29020 -- Dims: [29020] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29021 -- Dims: [29021] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29022 -- Dims: [29022] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29023 -- Dims: [29023] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29024 -- Dims: [29024] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29025 -- Dims: [29025] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29026 -- Dims: [29026] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29027 -- Dims: [29027] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29028 -- Dims: [29028] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29029 -- Dims: [29029] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29030 -- Dims: [29030] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29031 -- Dims: [29031] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29032 -- Dims: [29032] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29033 -- Dims: [29033] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29034 -- Dims: [29034] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29035 -- Dims: [29035] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29036 -- Dims: [29036] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29037 -- Dims: [29037] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29038 -- Dims: [29038] -- IDs: ['sex', 'unit', 'geo', 'time']
Key: 29039 -- Dims: [29039] -- IDs: ['sex', 'unit', 'geo', 'time']
