geo,time,sex,alcohol_every_day_pct,alcohol_every_month_pct,alcohol_every_week_pct,alcohol_less_than_once_a_month_pct,alcohol_never_or_not_in_the_last_12_months_pct,alcohol_never_pct,alcohol_not_in_the_last_12_months_pct,gdp_per_capita,healthy_life_expectancy
Austria,2014,Females,2.8,29.7,16.4,19.9,31.2,17.3,13.9,39520.0,38.53333333333333
Austria,2014,Males,8.2,26.2,35.4,8.2,22.1,13.5,8.5,39520.0,42.13333333333333
Austria,2014,Total,5.4,28.2,25.3,14.2,26.9,15.5,11.4,39520.0,40.083333333333336
Austria,2019,Females,2.1,25.1,21.5,18.0,33.2,23.5,9.7,41970.0,38.61666666666667
Austria,2019,Males,7.8,21.2,37.4,10.8,22.8,15.4,7.3,41970.0,40.5
Austria,2019,Total,4.9,23.3,29.2,14.5,28.2,19.5,8.6,41970.0,39.35
Belgium,2014,Females,7.9,22.2,28.0,11.8,30.1,23.8,6.2,36530.0,46.5
Belgium,2014,Males,16.0,16.4,35.4,4.5,27.7,20.7,6.9,36530.0,50.70000000000001
Belgium,2014,Total,11.7,19.4,31.6,8.4,28.9,22.4,6.5,36530.0,48.4
Belgium,2019,Females,4.6,16.9,28.6,9.6,40.2,32.3,7.9,38760.0,45.18333333333334
Belgium,2019,Males,12.4,16.0,40.0,8.2,23.4,18.2,5.1,38760.0,47.666666666666664
Belgium,2019,Total,8.4,16.5,34.1,9.0,32.1,25.5,6.6,38760.0,46.29999999999999
Bulgaria,2014,Females,3.6,24.5,11.1,15.8,45.1,33.5,11.5,6260.0,50.36666666666667
Bulgaria,2014,Males,14.8,26.3,29.4,8.2,21.3,11.7,9.6,6260.0,51.65
Bulgaria,2014,Total,11.4,26.1,16.4,13.3,32.8,25.9,7.0,6260.0,50.833333333333336
Bulgaria,2019,Females,7.2,27.2,11.6,11.2,42.8,14.9,27.9,7800.0,52.28333333333333
Bulgaria,2019,Males,20.7,28.2,32.5,6.7,11.9,2.8,9.0,7800.0,53.699999999999996
Bulgaria,2019,Total,13.7,30.5,19.1,10.7,26.0,10.1,15.9,7800.0,52.833333333333336
Croatia,2014,Females,4.8,15.8,7.7,12.7,59.0,45.8,13.2,10500.0,38.11666666666667
Croatia,2014,Males,12.4,23.9,24.3,9.5,29.9,17.5,12.4,10500.0,41.31666666666667
Croatia,2014,Total,8.4,19.6,15.6,11.2,45.2,32.4,12.9,10500.0,39.43333333333333
Croatia,2019,Females,4.7,24.6,7.6,17.1,46.0,38.9,7.2,12940.0,35.6
Croatia,2019,Males,15.8,21.7,33.3,8.1,21.1,12.7,8.4,12940.0,36.81666666666667
Croatia,2019,Total,9.5,23.3,19.0,13.1,35.1,27.5,7.7,12940.0,36.06666666666666
Cyprus,2014,Females,1.9,18.8,9.2,8.2,62.0,61.0,1.0,20170.0,44.86666666666667
Cyprus,2014,Males,8.2,29.1,25.3,7.4,29.9,27.9,2.0,20170.0,49.699999999999996
Cyprus,2014,Total,4.7,23.1,16.3,8.0,48.0,46.6,1.4,20170.0,47.13333333333333
Cyprus,2019,Females,1.3,22.3,11.6,23.0,41.9,32.0,9.8,25390.0,40.416666666666664
Cyprus,2019,Males,6.5,34.3,27.8,14.5,16.9,12.5,4.5,25390.0,43.75
Cyprus,2019,Total,3.8,27.9,19.3,18.8,30.1,22.9,7.3,25390.0,41.983333333333334
Czechia,2014,Females,4.6,41.5,19.1,17.7,17.0,6.1,10.9,15470.0,46.25
Czechia,2014,Males,18.3,12.4,50.2,11.2,7.9,1.2,6.7,15470.0,48.333333333333336
Czechia,2014,Total,11.3,26.8,34.6,14.6,12.6,3.8,8.9,15470.0,47.1
Czechia,2019,Females,1.5,32.3,27.7,18.8,19.7,8.8,10.9,18570.0,42.949999999999996
Czechia,2019,Males,11.9,26.1,41.6,9.2,11.2,4.1,7.1,18570.0,46.06666666666666
Czechia,2019,Total,6.3,29.3,34.2,14.3,15.8,6.7,9.2,18570.0,44.18333333333334
Denmark,2014,Females,5.1,27.0,30.8,17.8,19.2,13.8,5.3,47240.0,48.96666666666667
Denmark,2014,Males,10.1,22.4,42.6,10.5,14.4,11.7,2.8,47240.0,48.449999999999996
Denmark,2014,Total,7.6,24.8,36.4,14.3,16.9,12.8,4.2,47240.0,48.71666666666667
Denmark,2019,Females,3.9,29.1,30.0,16.5,20.5,15.2,5.3,51500.0,45.73333333333334
Denmark,2019,Males,8.4,23.0,41.9,13.1,13.5,9.4,4.1,51500.0,47.166666666666664
Denmark,2019,Total,6.0,26.3,35.5,14.9,17.3,12.5,4.8,51500.0,46.38333333333333
Estonia,2014,Females,0.1,22.6,7.6,41.8,27.9,8.8,19.2,15680.0,36.28333333333333
Estonia,2014,Males,4.0,32.0,24.2,25.4,14.3,3.4,10.9,15680.0,36.6
Estonia,2014,Total,3.9,23.0,17.3,32.6,23.2,6.6,16.6,15680.0,36.266666666666666
Estonia,2019,Females,0.1,26.3,10.3,29.6,33.8,7.4,26.4,18580.0,38.4
Estonia,2019,Males,1.6,42.3,22.3,17.9,15.9,2.2,13.7,18580.0,39.449999999999996
Estonia,2019,Total,0.7,32.5,15.4,24.7,26.6,5.3,21.3,18580.0,38.583333333333336
European Union - 27 countries (from 2020),2014,Females,4.8,23.4,20.0,17.0,34.7,26.1,8.6,27190.0,41.449999999999996
European Union - 27 countries (from 2020),2014,Males,12.7,21.9,34.3,9.9,21.1,14.2,6.9,27190.0,44.81666666666667
European Union - 27 countries (from 2020),2014,Total,8.4,22.8,26.5,13.8,28.5,20.7,7.8,27190.0,42.98333333333333
European Union - 27 countries (from 2020),2019,Females,4.0,22.0,21.1,15.9,37.0,27.8,9.2,30030.0,46.550000000000004
European Union - 27 countries (from 2020),2019,Males,12.1,20.2,33.7,9.8,24.3,16.5,7.8,30030.0,49.21666666666667
European Union - 27 countries (from 2020),2019,Total,7.8,21.2,27.0,13.0,31.0,22.5,8.5,30030.0,47.71666666666667
European Union - 28 countries (2013-2020),2014,Females,4.6,22.4,21.8,17.1,34.0,25.0,9.1,,42.1
European Union - 28 countries (2013-2020),2014,Males,12.0,21.0,35.8,10.2,20.8,13.8,7.0,,45.11666666666667
European Union - 28 countries (2013-2020),2014,Total,8.0,21.9,28.2,13.9,28.0,19.9,8.1,,43.43333333333334
Finland,2014,Females,1.2,33.5,22.1,24.4,18.8,13.9,4.9,38300.0,41.06666666666667
Finland,2014,Males,1.4,29.6,39.6,7.4,22.0,14.2,7.9,38300.0,44.01666666666667
Finland,2014,Total,1.3,31.6,30.5,16.3,20.3,14.0,6.3,38300.0,42.4
France,2019,Females,6.1,22.9,22.1,12.2,36.7,30.2,6.5,34880.0,46.300000000000004
France,2019,Males,18.0,14.8,33.4,6.9,26.8,18.3,8.5,34880.0,48.083333333333336
France,2019,Total,11.6,19.2,27.4,9.7,32.1,24.6,7.5,34880.0,47.06666666666666
Germany,2014,Females,5.0,27.5,28.9,17.7,20.9,16.2,4.7,37480.0,36.449999999999996
Germany,2014,Males,11.8,21.4,40.9,10.6,15.3,9.9,5.3,37480.0,38.81666666666667
Germany,2014,Total,8.1,24.7,34.5,14.3,18.3,13.3,5.0,37480.0,37.61666666666667
Germany,2019,Females,3.2,28.5,22.4,17.5,28.4,20.1,8.3,39840.0,51.21666666666667
Germany,2019,Males,8.7,24.4,33.0,11.8,22.1,14.4,7.7,39840.0,51.78333333333333
Germany,2019,Total,5.9,26.3,27.6,14.6,25.6,17.5,8.1,39840.0,51.550000000000004
Greece,2014,Females,2.9,23.1,18.9,14.1,41.1,22.3,18.8,16140.0,41.5
Greece,2014,Males,11.7,24.2,34.8,8.7,20.6,9.0,11.6,16140.0,44.98333333333333
Greece,2014,Total,6.5,23.6,25.7,11.8,32.4,16.5,15.9,16140.0,43.083333333333336
Greece,2019,Females,2.1,25.4,17.5,15.5,39.5,19.0,20.5,17320.0,43.5
Greece,2019,Males,11.8,28.7,33.3,10.2,16.0,6.8,9.2,17320.0,46.43333333333334
Greece,2019,Total,6.2,26.5,24.6,13.0,29.7,13.3,16.3,17320.0,44.86666666666667
Hungary,2014,Females,2.3,22.7,11.1,24.5,39.4,36.1,3.3,11070.0,39.56666666666667
Hungary,2014,Males,14.1,21.2,33.9,16.0,14.8,9.4,5.3,11070.0,43.300000000000004
Hungary,2014,Total,7.1,24.5,21.5,19.3,27.7,24.3,3.4,11070.0,41.083333333333336
Hungary,2019,Females,1.6,26.8,12.5,24.3,34.9,27.5,7.4,13780.0,43.4
Hungary,2019,Males,16.2,21.6,33.3,11.9,17.1,9.5,7.6,13780.0,45.28333333333333
Hungary,2019,Total,8.1,24.6,21.8,18.7,26.8,19.4,7.5,13780.0,44.15
Iceland,2014,Females,0.4,39.4,13.6,27.6,19.0,11.8,7.2,,54.13333333333333
Iceland,2014,Males,2.2,31.4,29.8,16.0,20.7,13.2,7.5,,59.916666666666664
Iceland,2014,Total,1.1,36.1,20.8,22.4,19.6,12.2,7.4,,56.85
Ireland,2014,Females,1.0,26.5,31.9,15.2,25.3,20.1,5.3,47010.0,51.11666666666667
Ireland,2014,Males,2.3,27.7,41.3,9.7,19.0,14.4,4.6,47010.0,52.35
Ireland,2014,Total,1.6,27.1,36.3,12.6,22.3,17.3,5.0,47010.0,51.71666666666667
Ireland,2019,Females,1.4,25.5,30.9,15.7,26.6,19.5,7.0,69040.0,54.416666666666664
Ireland,2019,Males,4.3,19.4,42.3,11.3,22.7,15.2,7.5,69040.0,55.18333333333334
Ireland,2019,Total,2.8,22.4,36.7,13.5,24.7,17.4,7.3,69040.0,54.76666666666667
Italy,2014,Females,7.1,19.7,17.2,11.0,45.0,42.1,2.9,27330.0,39.81666666666667
Italy,2014,Males,16.2,19.6,32.7,6.1,25.5,23.0,2.5,27330.0,43.38333333333333
Italy,2014,Total,10.9,19.7,23.6,8.9,37.0,34.1,2.8,27330.0,41.38333333333333
Italy,2019,Females,5.3,15.3,21.6,9.4,48.4,45.1,3.3,29000.0,47.46666666666667
Italy,2019,Males,15.5,14.5,36.9,5.6,27.5,23.7,3.8,29000.0,50.75
Italy,2019,Total,9.7,15.1,28.2,7.8,39.4,35.8,3.5,29000.0,48.916666666666664
Latvia,2014,Females,0.3,24.4,5.1,35.6,34.6,8.7,25.9,11470.0,33.86666666666667
Latvia,2014,Males,3.4,36.3,20.7,24.6,15.0,2.8,12.2,11470.0,35.5
Latvia,2014,Total,1.4,28.9,11.0,31.3,27.4,6.5,20.9,11470.0,34.36666666666667
Latvia,2019,Females,0.7,23.6,4.2,33.6,38.0,10.7,27.3,13820.0,33.300000000000004
Latvia,2019,Males,3.1,31.9,21.4,19.2,24.5,4.0,20.5,13820.0,36.06666666666667
Latvia,2019,Total,1.6,26.7,10.7,28.2,32.8,8.3,24.5,13820.0,34.300000000000004
Lithuania,2014,Females,0.1,29.6,3.9,30.4,36.0,10.5,25.6,12400.0,40.266666666666666
Lithuania,2014,Males,1.8,45.0,22.2,13.5,17.5,5.2,12.4,12400.0,43.9
Lithuania,2014,Total,0.8,36.4,11.9,23.0,28.0,8.1,19.8,12400.0,41.550000000000004
Lithuania,2019,Females,0.1,21.0,8.0,35.3,35.6,14.7,20.8,15710.0,38.86666666666667
Lithuania,2019,Males,1.6,31.8,19.1,23.4,24.1,6.2,17.9,15710.0,41.65
Lithuania,2019,Total,0.8,25.6,12.8,30.4,30.5,11.4,19.1,15710.0,39.85
Luxembourg,2014,Females,5.8,21.8,31.9,10.9,29.6,25.3,4.3,94820.0,45.28333333333333
Luxembourg,2014,Males,13.0,23.2,42.9,5.9,15.0,11.1,3.9,94820.0,50.449999999999996
Luxembourg,2014,Total,9.4,22.7,37.4,8.4,22.1,18.1,4.1,94820.0,47.63333333333333
Luxembourg,2019,Females,5.9,21.9,34.2,11.5,26.5,22.3,4.2,96730.0,44.449999999999996
Luxembourg,2019,Males,10.2,17.8,48.8,6.9,16.2,11.4,4.8,96730.0,47.31666666666666
Luxembourg,2019,Total,8.1,19.9,41.7,9.2,21.2,16.7,4.5,96730.0,45.9
Malta,2014,Females,8.7,24.1,23.9,13.3,30.0,17.8,12.2,21490.0,56.85
Malta,2014,Males,15.3,18.3,41.5,10.7,14.2,9.1,5.1,21490.0,58.449999999999996
Malta,2014,Total,12.2,21.4,32.4,11.9,22.2,13.4,8.8,21490.0,57.51666666666667
Malta,2019,Females,5.9,16.8,22.4,16.0,38.9,27.1,11.9,26570.0,57.31666666666666
Malta,2019,Males,10.6,22.3,38.3,9.1,19.7,12.5,7.2,26570.0,59.45000000000001
Malta,2019,Total,8.6,20.4,31.7,11.8,27.6,18.6,9.1,26570.0,58.26666666666667
Netherlands,2019,Females,6.1,14.9,32.6,14.0,32.4,20.2,12.2,44390.0,42.516666666666666
Netherlands,2019,Males,7.7,8.0,50.5,10.0,23.8,11.9,12.0,44390.0,47.21666666666667
Netherlands,2019,Total,6.8,11.9,41.0,12.1,28.2,16.2,11.9,44390.0,44.73333333333333
Norway,2014,Females,0.8,47.1,19.5,0.0,32.5,0.0,32.5,,57.23333333333333
Norway,2014,Males,2.3,47.0,28.2,0.0,22.5,0.0,22.5,,61.300000000000004
Norway,2014,Total,1.6,47.0,24.0,0.0,27.4,0.0,27.4,,59.166666666666664
Poland,2014,Females,0.2,15.3,7.6,27.7,49.2,19.6,29.6,10900.0,42.86666666666667
Poland,2014,Males,3.1,30.2,26.0,20.5,20.2,6.1,14.0,10900.0,45.0
Poland,2014,Total,1.4,21.4,15.4,24.4,37.4,14.0,23.3,10900.0,43.65
Poland,2019,Females,0.1,19.4,5.7,39.7,35.0,11.8,23.2,13720.0,45.18333333333333
Poland,2019,Males,4.6,37.2,25.5,17.8,14.9,2.9,11.9,13720.0,46.6
Poland,2019,Total,1.8,26.1,14.1,31.3,26.8,8.2,18.6,13720.0,45.68333333333334
Portugal,2014,Females,8.5,20.4,15.3,17.2,38.6,29.5,9.1,16950.0,33.61666666666667
Portugal,2014,Males,27.9,16.1,31.2,9.6,15.3,9.6,5.7,16950.0,40.71666666666666
Portugal,2014,Total,17.5,18.5,22.6,13.7,27.9,20.3,7.5,16950.0,36.733333333333334
Portugal,2019,Females,8.5,21.4,22.8,16.5,30.8,24.6,6.2,19310.0,36.800000000000004
Portugal,2019,Males,26.5,13.9,32.1,7.4,20.1,14.6,5.5,19310.0,43.31666666666666
