geo,time,sex,alcohol_daily_pct,alcohol_monthly_pct,alcohol_never_pct,alcohol_weekly_pct,gdp_per_capita,healthy_life_expectancy,alcohol_consumption_index,abstinence_rate,health_per_gdp_ratio
Austria,2014,Females,2.5,36.7,11.1,22.9,39520.0,57.8,38.025,11.1,0.0014625506072874492
Austria,2014,Females,2.5,36.7,11.1,22.9,39520.0,,38.025,11.1,
Austria,2014,Males,10.5,28.6,4.9,43.8,39520.0,57.6,57.64999999999999,4.9,0.0014574898785425102
Austria,2014,Males,10.5,28.6,4.9,43.8,39520.0,,57.64999999999999,4.9,
Austria,2014,Total,6.4,32.7,8.0,33.2,39520.0,57.7,47.650000000000006,8.0,0.0014600202429149798
Austria,2014,Total,6.4,32.7,8.0,33.2,39520.0,,47.650000000000006,8.0,
Austria,2019,Females,2.7,32.8,12.5,27.0,41970.0,58.0,39.349999999999994,12.5,0.0013819394805813677
Austria,2019,Females,2.7,32.8,12.5,27.0,41970.0,,39.349999999999994,12.5,
Austria,2019,Males,9.6,22.9,6.0,46.0,41970.0,56.7,55.55,6.0,0.0013509649749821303
Austria,2019,Males,9.6,22.9,6.0,46.0,41970.0,,55.55,6.0,
Austria,2019,Total,6.1,27.9,9.3,36.3,41970.0,57.3,47.27499999999999,9.3,0.0013652609006433165
Austria,2019,Total,6.1,27.9,9.3,36.3,41970.0,,47.27499999999999,9.3,
Belgium,2014,Females,10.2,25.1,15.6,32.0,36530.0,63.7,46.75,15.6,0.0017437722419928825
Belgium,2014,Females,10.2,25.1,15.6,32.0,36530.0,,46.75,15.6,
Belgium,2014,Males,19.7,16.2,6.2,47.0,36530.0,64.4,63.050000000000004,6.2,0.0017629345743224748
Belgium,2014,Males,19.7,16.2,6.2,47.0,36530.0,,63.050000000000004,6.2,
Belgium,2014,Total,14.8,20.8,11.1,39.3,36530.0,64.1,54.675,11.1,0.0017547221461812208
Belgium,2014,Total,14.8,20.8,11.1,39.3,36530.0,,54.675,11.1,
Belgium,2019,Females,6.7,19.6,19.0,36.7,38760.0,62.8,44.025000000000006,19.0,0.0016202270381836944
Belgium,2019,Females,6.7,19.6,19.0,36.7,38760.0,,44.025000000000006,19.0,
Belgium,2019,Males,13.9,16.3,8.3,49.3,38760.0,62.1,59.02499999999999,8.3,0.0016021671826625388
Belgium,2019,Males,13.9,16.3,8.3,49.3,38760.0,,59.02499999999999,8.3,
Belgium,2019,Total,10.2,18.0,13.7,42.8,38760.0,62.4,51.3,13.7,0.0016099071207430341
Belgium,2019,Total,10.2,18.0,13.7,42.8,38760.0,,51.3,13.7,
Bulgaria,2014,Females,3.6,24.5,33.5,11.1,6260.0,66.1,24.174999999999997,33.5,0.010559105431309904
Bulgaria,2014,Females,3.6,24.5,33.5,11.1,6260.0,,24.174999999999997,33.5,
Bulgaria,2014,Males,14.8,26.3,11.7,29.4,6260.0,62.0,49.99999999999999,11.7,0.009904153354632588
Bulgaria,2014,Males,14.8,26.3,11.7,29.4,6260.0,,49.99999999999999,11.7,
Bulgaria,2014,Total,8.8,25.3,23.3,19.6,6260.0,64.0,36.15,23.3,0.010223642172523962
Bulgaria,2014,Total,8.8,25.3,23.3,19.6,6260.0,,36.15,23.3,
Bulgaria,2019,Females,3.6,22.3,27.7,14.6,7800.0,68.4,25.7,27.7,0.00876923076923077
Bulgaria,2019,Females,3.6,22.3,27.7,14.6,7800.0,,25.7,27.7,
Bulgaria,2019,Males,17.4,23.6,8.5,34.0,7800.0,64.4,54.7,8.5,0.008256410256410256
Bulgaria,2019,Males,17.4,23.6,8.5,34.0,7800.0,,54.7,8.5,
Bulgaria,2019,Total,10.2,22.9,18.5,23.8,7800.0,66.3,39.5,18.5,0.008499999999999999
Bulgaria,2019,Total,10.2,22.9,18.5,23.8,7800.0,,39.5,18.5,
Croatia,2014,Females,3.7,16.4,41.8,8.3,10500.0,60.0,18.125,41.8,0.005714285714285714
Croatia,2014,Females,3.7,16.4,41.8,8.3,10500.0,,18.125,41.8,
Croatia,2014,Males,14.8,24.4,17.7,22.1,10500.0,58.6,43.575,17.7,0.005580952380952381
Croatia,2014,Males,14.8,24.4,17.7,22.1,10500.0,,43.575,17.7,
Croatia,2014,Total,9.0,20.2,30.5,14.8,10500.0,59.3,30.200000000000003,30.5,0.005647619047619047
Croatia,2014,Total,9.0,20.2,30.5,14.8,10500.0,,30.200000000000003,30.5,
Croatia,2019,Females,4.2,21.1,38.2,12.0,12940.0,58.5,23.75,38.2,0.004520865533230294
Croatia,2019,Females,4.2,21.1,38.2,12.0,12940.0,,23.75,38.2,
