Malformed or incomplete keys detected in Eurostat JSON (GDP):
Key: 630 -- Dims: [630] -- IDs: ['unit', 'geo', 'time']
Key: 631 -- Dims: [631] -- IDs: ['unit', 'geo', 'time']
Key: 632 -- Dims: [632] -- IDs: ['unit', 'geo', 'time']
Key: 633 -- Dims: [633] -- IDs: ['unit', 'geo', 'time']
Key: 634 -- Dims: [634] -- IDs: ['unit', 'geo', 'time']
Key: 635 -- Dims: [635] -- IDs: ['unit', 'geo', 'time']
Key: 636 -- Dims: [636] -- IDs: ['unit', 'geo', 'time']
Key: 637 -- Dims: [637] -- IDs: ['unit', 'geo', 'time']
Key: 638 -- Dims: [638] -- IDs: ['unit', 'geo', 'time']
Key: 639 -- Dims: [639] -- IDs: ['unit', 'geo', 'time']
Key: 640 -- Dims: [640] -- IDs: ['unit', 'geo', 'time']
Key: 641 -- Dims: [641] -- IDs: ['unit', 'geo', 'time']
Key: 642 -- Dims: [642] -- IDs: ['unit', 'geo', 'time']
Key: 643 -- Dims: [643] -- IDs: ['unit', 'geo', 'time']
Key: 644 -- Dims: [644] -- IDs: ['unit', 'geo', 'time']
Key: 645 -- Dims: [645] -- IDs: ['unit', 'geo', 'time']
Key: 646 -- Dims: [646] -- IDs: ['unit', 'geo', 'time']
Key: 647 -- Dims: [647] -- IDs: ['unit', 'geo', 'time']
Key: 648 -- Dims: [648] -- IDs: ['unit', 'geo', 'time']
Key: 649 -- Dims: [649] -- IDs: ['unit', 'geo', 'time']
Key: 650 -- Dims: [650] -- IDs: ['unit', 'geo', 'time']
Key: 651 -- Dims: [651] -- IDs: ['unit', 'geo', 'time']
Key: 652 -- Dims: [652] -- IDs: ['unit', 'geo', 'time']
Key: 653 -- Dims: [653] -- IDs: ['unit', 'geo', 'time']
Key: 654 -- Dims: [654] -- IDs: ['unit', 'geo', 'time']
Key: 655 -- Dims: [655] -- IDs: ['unit', 'geo', 'time']
Key: 656 -- Dims: [656] -- IDs: ['unit', 'geo', 'time']
Key: 657 -- Dims: [657] -- IDs: ['unit', 'geo', 'time']
Key: 658 -- Dims: [658] -- IDs: ['unit', 'geo', 'time']
Key: 659 -- Dims: [659] -- IDs: ['unit', 'geo', 'time']
Key: 60 -- Dims: [60] -- IDs: ['unit', 'geo', 'time']
Key: 61 -- Dims: [61] -- IDs: ['unit', 'geo', 'time']
Key: 62 -- Dims: [62] -- IDs: ['unit', 'geo', 'time']
Key: 63 -- Dims: [63] -- IDs: ['unit', 'geo', 'time']
Key: 64 -- Dims: [64] -- IDs: ['unit', 'geo', 'time']
Key: 65 -- Dims: [65] -- IDs: ['unit', 'geo', 'time']
Key: 66 -- Dims: [66] -- IDs: ['unit', 'geo', 'time']
Key: 67 -- Dims: [67] -- IDs: ['unit', 'geo', 'time']
Key: 68 -- Dims: [68] -- IDs: ['unit', 'geo', 'time']
Key: 69 -- Dims: [69] -- IDs: ['unit', 'geo', 'time']
Key: 70 -- Dims: [70] -- IDs: ['unit', 'geo', 'time']
Key: 71 -- Dims: [71] -- IDs: ['unit', 'geo', 'time']
Key: 72 -- Dims: [72] -- IDs: ['unit', 'geo', 'time']
Key: 73 -- Dims: [73] -- IDs: ['unit', 'geo', 'time']
Key: 74 -- Dims: [74] -- IDs: ['unit', 'geo', 'time']
Key: 75 -- Dims: [75] -- IDs: ['unit', 'geo', 'time']
Key: 76 -- Dims: [76] -- IDs: ['unit', 'geo', 'time']
Key: 77 -- Dims: [77] -- IDs: ['unit', 'geo', 'time']
Key: 78 -- Dims: [78] -- IDs: ['unit', 'geo', 'time']
Key: 79 -- Dims: [79] -- IDs: ['unit', 'geo', 'time']
Key: 80 -- Dims: [80] -- IDs: ['unit', 'geo', 'time']
Key: 81 -- Dims: [81] -- IDs: ['unit', 'geo', 'time']
Key: 82 -- Dims: [82] -- IDs: ['unit', 'geo', 'time']
Key: 83 -- Dims: [83] -- IDs: ['unit', 'geo', 'time']
Key: 84 -- Dims: [84] -- IDs: ['unit', 'geo', 'time']
Key: 85 -- Dims: [85] -- IDs: ['unit', 'geo', 'time']
Key: 86 -- Dims: [86] -- IDs: ['unit', 'geo', 'time']
Key: 87 -- Dims: [87] -- IDs: ['unit', 'geo', 'time']
Key: 88 -- Dims: [88] -- IDs: ['unit', 'geo', 'time']
Key: 89 -- Dims: [89] -- IDs: ['unit', 'geo', 'time']
Key: 90 -- Dims: [90] -- IDs: ['unit', 'geo', 'time']
Key: 91 -- Dims: [91] -- IDs: ['unit', 'geo', 'time']
Key: 92 -- Dims: [92] -- IDs: ['unit', 'geo', 'time']
Key: 93 -- Dims: [93] -- IDs: ['unit', 'geo', 'time']
Key: 94 -- Dims: [94] -- IDs: ['unit', 'geo', 'time']
Key: 95 -- Dims: [95] -- IDs: ['unit', 'geo', 'time']
Key: 96 -- Dims: [96] -- IDs: ['unit', 'geo', 'time']
Key: 97 -- Dims: [97] -- IDs: ['unit', 'geo', 'time']
Key: 98 -- Dims: [98] -- IDs: ['unit', 'geo', 'time']
Key: 99 -- Dims: [99] -- IDs: ['unit', 'geo', 'time']
Key: 100 -- Dims: [100] -- IDs: ['unit', 'geo', 'time']
Key: 101 -- Dims: [101] -- IDs: ['unit', 'geo', 'time']
Key: 102 -- Dims: [102] -- IDs: ['unit', 'geo', 'time']
Key: 103 -- Dims: [103] -- IDs: ['unit', 'geo', 'time']
Key: 104 -- Dims: [104] -- IDs: ['unit', 'geo', 'time']
Key: 105 -- Dims: [105] -- IDs: ['unit', 'geo', 'time']
Key: 106 -- Dims: [106] -- IDs: ['unit', 'geo', 'time']
Key: 107 -- Dims: [107] -- IDs: ['unit', 'geo', 'time']
Key: 108 -- Dims: [108] -- IDs: ['unit', 'geo', 'time']
Key: 109 -- Dims: [109] -- IDs: ['unit', 'geo', 'time']
Key: 110 -- Dims: [110] -- IDs: ['unit', 'geo', 'time']
Key: 111 -- Dims: [111] -- IDs: ['unit', 'geo', 'time']
Key: 112 -- Dims: [112] -- IDs: ['unit', 'geo', 'time']
Key: 113 -- Dims: [113] -- IDs: ['unit', 'geo', 'time']
Key: 114 -- Dims: [114] -- IDs: ['unit', 'geo', 'time']
Key: 115 -- Dims: [115] -- IDs: ['unit', 'geo', 'time']
Key: 116 -- Dims: [116] -- IDs: ['unit', 'geo', 'time']
Key: 117 -- Dims: [117] -- IDs: ['unit', 'geo', 'time']
Key: 118 -- Dims: [118] -- IDs: ['unit', 'geo', 'time']
Key: 119 -- Dims: [119] -- IDs: ['unit', 'geo', 'time']
Key: 420 -- Dims: [420] -- IDs: ['unit', 'geo', 'time']
Key: 421 -- Dims: [421] -- IDs: ['unit', 'geo', 'time']
Key: 422 -- Dims: [422] -- IDs: ['unit', 'geo', 'time']
Key: 423 -- Dims: [423] -- IDs: ['unit', 'geo', 'time']
Key: 424 -- Dims: [424] -- IDs: ['unit', 'geo', 'time']
Key: 425 -- Dims: [425] -- IDs: ['unit', 'geo', 'time']
Key: 426 -- Dims: [426] -- IDs: ['unit', 'geo', 'time']
Key: 427 -- Dims: [427] -- IDs: ['unit', 'geo', 'time']
Key: 428 -- Dims: [428] -- IDs: ['unit', 'geo', 'time']
Key: 429 -- Dims: [429] -- IDs: ['unit', 'geo', 'time']
Key: 430 -- Dims: [430] -- IDs: ['unit', 'geo', 'time']
Key: 431 -- Dims: [431] -- IDs: ['unit', 'geo', 'time']
Key: 432 -- Dims: [432] -- IDs: ['unit', 'geo', 'time']
Key: 433 -- Dims: [433] -- IDs: ['unit', 'geo', 'time']
Key: 434 -- Dims: [434] -- IDs: ['unit', 'geo', 'time']
Key: 435 -- Dims: [435] -- IDs: ['unit', 'geo', 'time']
Key: 436 -- Dims: [436] -- IDs: ['unit', 'geo', 'time']
Key: 437 -- Dims: [437] -- IDs: ['unit', 'geo', 'time']
Key: 438 -- Dims: [438] -- IDs: ['unit', 'geo', 'time']
Key: 439 -- Dims: [439] -- IDs: ['unit', 'geo', 'time']
Key: 440 -- Dims: [440] -- IDs: ['unit', 'geo', 'time']
Key: 441 -- Dims: [441] -- IDs: ['unit', 'geo', 'time']
Key: 442 -- Dims: [442] -- IDs: ['unit', 'geo', 'time']
Key: 443 -- Dims: [443] -- IDs: ['unit', 'geo', 'time']
Key: 444 -- Dims: [444] -- IDs: ['unit', 'geo', 'time']
Key: 445 -- Dims: [445] -- IDs: ['unit', 'geo', 'time']
Key: 446 -- Dims: [446] -- IDs: ['unit', 'geo', 'time']
Key: 447 -- Dims: [447] -- IDs: ['unit', 'geo', 'time']
Key: 448 -- Dims: [448] -- IDs: ['unit', 'geo', 'time']
Key: 449 -- Dims: [449] -- IDs: ['unit', 'geo', 'time']
Key: 120 -- Dims: [120] -- IDs: ['unit', 'geo', 'time']
Key: 121 -- Dims: [121] -- IDs: ['unit', 'geo', 'time']
Key: 122 -- Dims: [122] -- IDs: ['unit', 'geo', 'time']
Key: 123 -- Dims: [123] -- IDs: ['unit', 'geo', 'time']
Key: 124 -- Dims: [124] -- IDs: ['unit', 'geo', 'time']
Key: 125 -- Dims: [125] -- IDs: ['unit', 'geo', 'time']
Key: 126 -- Dims: [126] -- IDs: ['unit', 'geo', 'time']
Key: 127 -- Dims: [127] -- IDs: ['unit', 'geo', 'time']
Key: 128 -- Dims: [128] -- IDs: ['unit', 'geo', 'time']
Key: 129 -- Dims: [129] -- IDs: ['unit', 'geo', 'time']
Key: 130 -- Dims: [130] -- IDs: ['unit', 'geo', 'time']
Key: 131 -- Dims: [131] -- IDs: ['unit', 'geo', 'time']
Key: 132 -- Dims: [132] -- IDs: ['unit', 'geo', 'time']
Key: 133 -- Dims: [133] -- IDs: ['unit', 'geo', 'time']
Key: 134 -- Dims: [134] -- IDs: ['unit', 'geo', 'time']
Key: 135 -- Dims: [135] -- IDs: ['unit', 'geo', 'time']
Key: 136 -- Dims: [136] -- IDs: ['unit', 'geo', 'time']
Key: 137 -- Dims: [137] -- IDs: ['unit', 'geo', 'time']
Key: 138 -- Dims: [138] -- IDs: ['unit', 'geo', 'time']
Key: 139 -- Dims: [139] -- IDs: ['unit', 'geo', 'time']
Key: 140 -- Dims: [140] -- IDs: ['unit', 'geo', 'time']
Key: 141 -- Dims: [141] -- IDs: ['unit', 'geo', 'time']
Key: 142 -- Dims: [142] -- IDs: ['unit', 'geo', 'time']
Key: 143 -- Dims: [143] -- IDs: ['unit', 'geo', 'time']
Key: 144 -- Dims: [144] -- IDs: ['unit', 'geo', 'time']
Key: 145 -- Dims: [145] -- IDs: ['unit', 'geo', 'time']
Key: 146 -- Dims: [146] -- IDs: ['unit', 'geo', 'time']
Key: 147 -- Dims: [147] -- IDs: ['unit', 'geo', 'time']
Key: 148 -- Dims: [148] -- IDs: ['unit', 'geo', 'time']
Key: 149 -- Dims: [149] -- IDs: ['unit', 'geo', 'time']
Key: 180 -- Dims: [180] -- IDs: ['unit', 'geo', 'time']
Key: 181 -- Dims: [181] -- IDs: ['unit', 'geo', 'time']
Key: 182 -- Dims: [182] -- IDs: ['unit', 'geo', 'time']
Key: 183 -- Dims: [183] -- IDs: ['unit', 'geo', 'time']
Key: 184 -- Dims: [184] -- IDs: ['unit', 'geo', 'time']
Key: 185 -- Dims: [185] -- IDs: ['unit', 'geo', 'time']
Key: 186 -- Dims: [186] -- IDs: ['unit', 'geo', 'time']
Key: 187 -- Dims: [187] -- IDs: ['unit', 'geo', 'time']
Key: 188 -- Dims: [188] -- IDs: ['unit', 'geo', 'time']
Key: 189 -- Dims: [189] -- IDs: ['unit', 'geo', 'time']
Key: 190 -- Dims: [190] -- IDs: ['unit', 'geo', 'time']
Key: 191 -- Dims: [191] -- IDs: ['unit', 'geo', 'time']
Key: 192 -- Dims: [192] -- IDs: ['unit', 'geo', 'time']
Key: 193 -- Dims: [193] -- IDs: ['unit', 'geo', 'time']
Key: 194 -- Dims: [194] -- IDs: ['unit', 'geo', 'time']
